Timestamp,Throttle,Roll,Pitch,Yaw,KillSwitch,Emergency,Ax_ms2,Ay_ms2,Az_ms2,Gx_rps,Gy_rps,Gz_rps,Ref_Roll,Ref_Pitch,Ref_YawRate
# Flight Data Log - Single Flight Mode
# Generated by Starship Hand Controller
# Timestamp: milliseconds since loop start (flight time)
# Control values: 0-255 (127=center)
# Emergency: 1=active, 0=normal
# File overwrites on each restart
# ========================
2336,,,,,,,, # System startup - Hand Controller initialized
20051,,,,,,,, # Flight started - Loop timestamp zero point set
1200,49,0.01,0.06,-0.01,255,0,-0.13173,0.16047,10.04232,-0.00946,-0.01079,-0.00706,-5.00000,0.00000,0.00000
1210,49,0.02,-0.05,-0.01,255,0,-0.11736,0.15089,10.03753,-0.00893,-0.00999,-0.00693,-5.00000,0.00000,0.00000
1220,49,-0.00,0.06,-0.01,255,0,-0.11017,0.13412,10.01118,-0.01239,-0.01146,-0.00719,-5.00000,0.00000,0.00000
1230,49,-0.00,-0.06,-0.01,255,0,-0.13891,0.12454,10.04471,-0.01186,-0.01132,-0.00826,-5.00000,0.00000,0.00000
1240,49,0.05,0.05,-0.01,255,0,-0.12933,0.16526,10.00639,-0.01186,-0.01426,-0.00866,-5.00000,0.00000,0.00000
1250,49,0.04,-0.07,-0.01,255,0,-0.11975,0.15089,10.03274,-0.00959,-0.01226,-0.00493,-5.00000,0.00000,0.00000
1260,49,0.05,0.04,-0.01,255,0,-0.11257,0.13891,10.02795,-0.01146,-0.01159,-0.00679,-5.00000,0.00000,0.00000
1270,50,0.02,-0.07,-0.01,255,0,-0.12694,0.13412,10.04232,-0.01026,-0.01066,-0.00480,-5.00000,0.00000,0.00000
1280,50,0.05,0.04,-0.01,255,0,-0.11975,0.14131,10.03992,-0.01159,-0.00853,-0.00799,-5.00000,0.00000,0.00000
1290,50,0.08,-0.07,-0.01,255,0,-0.11017,0.16286,10.05429,-0.01092,-0.01279,-0.00719,-5.00000,0.00000,0.00000
1300,50,0.05,0.05,-0.01,255,0,-0.11496,0.14610,10.03753,-0.01132,-0.00866,-0.00573,-5.00000,0.00000,0.00000
1310,50,0.03,-0.07,-0.01,255,0,-0.11736,0.12215,10.03274,-0.01039,-0.01226,-0.00560,-5.00000,0.00000,0.00000
1320,50,-0.05,0.01,-0.01,255,0,-0.10778,0.10059,10.04711,-0.01172,-0.01053,-0.00679,-5.00000,0.00000,0.00000
1330,50,-0.03,-0.10,-0.01,255,0,-0.11496,0.10059,10.04711,-0.00826,-0.01239,-0.00799,-5.00000,0.00000,0.00000
1340,50,-0.08,-0.00,-0.01,255,0,-0.14610,0.09101,10.05190,-0.01239,-0.01119,-0.00493,-5.00000,0.00000,0.00000
1350,49,0.03,0.01,-0.01,255,0,-0.12215,0.15568,10.05429,-0.00933,-0.00906,-0.00679,-5.00000,0.00000,0.00000
1360,49,-0.08,-0.03,-0.01,255,0,-0.10299,0.12454,10.06866,-0.01146,-0.01106,-0.00653,-5.00000,0.00000,0.00000
1370,49,-0.09,-0.15,-0.01,255,0,-0.08862,0.09580,10.04232,-0.01053,-0.01239,-0.00613,-5.00000,0.00000,0.00000
1380,49,-0.09,-0.03,-0.01,255,0,-0.12933,0.10778,10.03992,-0.01079,-0.01066,-0.00413,-5.00000,0.00000,0.00000
1390,49,0.02,-0.01,-0.01,255,0,-0.12454,0.15568,10.05669,-0.00879,-0.00973,-0.00640,-5.00000,0.00000,0.00000
1400,49,-0.09,0.02,-0.01,255,0,-0.14849,0.10778,10.01597,-0.00853,-0.01212,-0.00493,-5.00000,0.00000,0.00000
1410,49,0.01,-0.04,-0.01,255,0,-0.11975,0.12215,10.04471,-0.01066,-0.01386,-0.00719,-5.00000,0.00000,0.00000
1420,49,-0.05,0.06,-0.01,255,0,-0.12694,0.16765,10.03992,-0.00999,-0.01079,-0.00706,-5.00000,0.00000,0.00000
1430,49,0.04,-0.01,-0.01,255,0,-0.15089,0.12454,10.04471,-0.01106,-0.01146,-0.00679,-5.00000,0.00000,0.00000
1440,49,-0.06,0.05,-0.01,255,0,-0.12933,0.11017,10.04711,-0.00986,-0.01186,-0.00813,-5.00000,0.00000,0.00000
1450,49,-0.05,-0.07,-0.01,255,0,-0.11496,0.11736,10.04711,-0.01066,-0.01026,-0.00506,-5.00000,0.00000,0.00000
1460,49,-0.02,0.04,-0.01,255,0,-0.14131,0.15328,9.99202,-0.01146,-0.01199,-0.01013,-5.00000,0.00000,0.00000
1470,49,-0.10,-0.04,-0.01,255,0,-0.11017,0.11257,10.02555,-0.00853,-0.01252,-0.00866,-5.00000,0.00000,0.00000
1480,49,-0.04,0.06,-0.01,255,0,-0.16047,0.13412,10.03274,-0.00919,-0.01106,-0.00653,-5.00000,0.00000,0.00000
1490,49,0.08,0.03,-0.01,255,0,-0.12215,0.14370,10.03274,-0.01119,-0.01585,-0.00453,-5.00000,0.00000,0.00000
1500,49,-0.03,0.06,-0.01,255,0,-0.13652,0.13173,10.03034,-0.01013,-0.01186,-0.00706,-5.00000,0.00000,0.00000
1510,50,0.06,-0.00,-0.01,255,0,-0.12454,0.13173,10.01837,-0.01039,-0.01119,-0.00746,-5.00000,0.00000,0.00000
1520,50,-0.04,0.05,-0.01,255,0,-0.12694,0.10538,10.03753,-0.00986,-0.01172,-0.00573,-5.00000,0.00000,0.00000
