Timestamp,Throttle,Roll,Pitch,Yaw,KillSwitch,Emergency,Ax_ms2,Ay_ms2,Az_ms2,Gx_dps,Gy_dps,Gz_dps
# Flight Data Log - Single Flight Mode
# Generated by Starship Hand Controller
# Timestamp: milliseconds since loop start (flight time)
# Control values: 0-255 (127=center)
# Emergency: 1=active, 0=normal
# File overwrites on each restart
# ========================
584,,,,,,,, # System startup - Hand Controller initialized
24796,,,,,,,, # Flight started - Loop timestamp zero point set
60140,131,0,0,2,131,0,0.01437,0.05988,9.95370,-0.69466,-0.36641,-0.22137
60261,131,0,0,2,131,0,-0.04311,0.00479,9.96807,-0.71756,-0.32824,-0.09160
60381,131,0,0,2,131,0,-0.13412,-0.02156,9.96807,-0.63359,-0.23664,-0.40458
60502,131,0,0,2,131,0,-0.01677,0.08862,9.97047,-0.74809,-0.22137,-0.43511
60622,131,0,0,2,131,0,-0.04072,0.08383,9.94173,-0.61069,-0.38931,-0.19847
60743,131,0,0,2,131,0,-0.14610,0.04311,9.97047,-0.71756,-0.31298,-0.16794
60864,131,0,0,2,131,0,0.04072,0.03832,9.98484,-0.70992,-0.29771,-0.22901
60984,131,0,0,2,131,0,-0.02395,0.03832,9.95370,-0.59542,-0.46565,-0.10687
61105,131,0,0,2,131,0,-0.07185,0.05748,9.95131,-0.72519,-0.26718,-0.25954
61225,131,0,0,2,131,0,0.02156,0.00240,9.95849,-0.87023,-0.26718,-0.19084
61346,131,0,0,2,131,0,-0.09820,-0.06467,9.96568,-0.58779,-0.41221,-0.11450
61466,131,0,0,2,131,0,-0.06706,0.02156,9.96089,-0.59542,-0.36641,-0.51145
61587,131,0,0,2,131,0,-0.12215,0.08143,9.97526,-0.67939,-0.26718,-0.51908
61707,131,0,0,2,131,0,0.03114,0.04072,9.96568,-0.69466,-0.26718,-0.49618
61828,131,0,0,2,131,0,-0.04311,0.00719,9.94891,-0.56489,-0.19084,-0.09160
61948,131,0,0,2,131,0,-0.10059,-0.03593,9.96328,-0.66412,-0.34351,-0.17557
62069,131,0,0,2,131,0,-0.05509,0.06946,9.95610,-0.67939,-0.36641,-0.29771
62189,131,0,0,2,131,0,-0.00240,0.06227,9.96089,-0.63359,-0.33588,-0.35878
62310,131,0,0,2,131,0,-0.10538,-0.03832,9.99681,-0.83206,-0.14504,-0.60305
62431,131,0,0,2,131,0,-0.04790,-0.04072,9.97526,-0.71756,-0.59542,-0.45038
62551,131,0,0,2,131,0,0.01437,0.07664,9.97286,-0.70229,-0.43511,-0.31298
62672,131,0,0,2,131,0,-0.02874,0.04551,9.95610,-0.64122,-0.35115,0.04580
62792,131,0,0,2,131,0,-0.12694,0.00479,9.95370,-0.70229,-0.38931,-0.27481
62913,131,0,0,2,131,0,-0.01437,-0.00479,9.96328,-0.82443,-0.43511,-0.46565
63033,131,0,0,2,131,0,-0.04072,0.00000,9.96807,-0.74046,-0.37405,-0.26718
63154,131,0,0,2,131,0,-0.11975,0.01916,9.98005,-0.64885,-0.51908,-0.48092
63274,131,0,0,2,131,0,0.04072,0.04311,9.97047,-0.61069,-0.22901,-0.38168
63395,131,0,0,2,131,0,-0.03114,0.02156,9.97765,-0.74046,-0.37405,0.41985
63515,131,0,0,2,131,0,-0.18681,0.02156,9.96089,-0.70992,-0.38931,-0.25954
63636,131,0,0,2,131,0,0.03832,-0.00958,9.99681,-0.73282,-0.46565,-0.14504
63757,131,0,0,2,131,0,-0.06706,-0.00958,9.99442,-0.74046,-0.37405,-0.10687
63877,131,0,0,2,131,0,-0.17723,0.03353,9.95849,-0.67176,-0.37405,-0.61832
