Timestamp,Throttle,Pitch,Yaw,Roll,KillSwitch,Emergency,Ax_ms2,Ay_ms2,Az_ms2,Gx_dps,Gy_dps,Gz_dps
# Flight Data Log - Single Flight Mode
# Generated by Starship Hand Controller
# Timestamp: milliseconds since loop start (flight time)
# Control values: 0-255 (127=center)
# Emergency: 1=active, 0=normal
# File overwrites on each restart
# ========================
2433,,,,,,,, # System startup - Hand Controller initialized
16893,,,,,,,, # Flight started - Loop timestamp zero point set
11380,131,128,131,131,131,0,0.05269,-0.03114,10.00639,-0.64885,-0.12977,-0.29771
11501,131,128,131,131,131,0,0.03832,0.00000,9.99921,-0.81679,-0.17557,-0.52672
11621,131,128,131,131,131,0,0.00479,-0.02156,9.99681,-0.69466,-0.20611,-0.31298
11742,131,128,131,131,131,0,0.04551,-0.00479,10.00160,-0.73282,-0.03817,-0.32824
11862,131,128,131,131,131,0,0.04072,-0.00479,10.00400,-0.70992,-0.17557,-0.37405
11983,131,128,131,131,131,0,0.01677,0.02156,10.02316,-0.77099,-0.09924,-0.44275
12103,131,128,131,131,131,0,0.03593,-0.01198,9.99681,-0.73282,-0.06870,-0.29771
12224,131,128,131,131,131,0,0.02874,0.00719,9.98723,-0.80153,-0.14504,-0.36641
12344,131,128,131,131,131,0,0.04311,-0.00479,10.01358,-0.67939,-0.21374,-0.45038
12465,131,128,131,131,131,0,0.05269,0.00958,9.99921,-0.68702,-0.16031,-0.22137
12585,131,128,131,131,131,0,0.03353,0.01677,9.98963,-0.69466,-0.34351,-0.40458
12706,131,128,131,131,131,0,0.01916,-0.00479,9.99681,-0.71756,-0.09160,-0.33588
12827,131,128,131,131,131,0,0.03832,-0.01437,10.01597,-0.79389,-0.28244,-0.28244
12947,131,128,131,131,131,0,0.03114,-0.00719,10.03992,-0.64122,-0.07634,-0.29771
13068,131,128,131,131,131,0,0.02874,-0.00240,9.99921,-0.76336,-0.18321,-0.29771
13188,131,128,131,131,131,0,0.04072,0.00958,9.99921,-0.61832,-0.17557,-0.35115
13309,131,128,131,131,131,0,0.07185,0.00719,9.98963,-0.86260,-0.25191,-0.16794
13429,131,128,131,131,131,0,0.02156,0.00000,10.02316,-0.66412,-0.06107,-0.44275
13550,131,128,131,131,131,0,0.00958,0.00958,10.01597,-0.67176,-0.25191,-0.50382
13670,131,128,131,131,131,0,0.01916,0.02395,10.00879,-0.56489,-0.12214,-0.34351
13791,131,128,131,131,131,0,0.02156,0.00479,9.98005,-0.69466,-0.17557,-0.36641
13911,131,128,131,131,131,0,0.03353,-0.01198,10.00400,-0.65649,-0.09160,-0.30534
14032,131,128,131,131,131,0,0.05269,-0.00479,9.98963,-0.77099,-0.21374,-0.44275
14152,131,128,131,131,131,0,0.02874,-0.00958,10.00639,-0.72519,-0.15267,-0.23664
14273,131,128,131,131,131,0,0.00958,-0.00958,10.01358,-0.78626,-0.25191,-0.26718
14394,131,128,131,131,131,0,0.04311,0.00240,10.01118,-0.66412,0.07634,-0.29008
14514,131,128,131,131,131,0,-0.00719,-0.01437,10.00400,-0.71756,-0.09924,-0.21374
14635,131,128,131,131,131,0,0.02395,0.01437,10.00879,-0.64122,-0.23664,-0.32824
14755,131,128,131,131,131,0,0.04311,0.02635,10.00160,-0.67939,-0.17557,-0.34351
14876,131,128,131,131,131,0,0.03353,-0.00719,10.01358,-0.78626,-0.09924,-0.37405
14996,131,128,131,131,131,0,0.02395,0.00479,10.00400,-0.70229,-0.16031,-0.30534
15117,131,128,131,131,131,0,0.00719,0.01198,10.00400,-0.73282,-0.13740,-0.34351
15237,131,128,131,131,131,0,0.05988,0.00240,10.01597,-0.67176,-0.11450,-0.37405
15358,131,128,131,131,131,0,0.06227,-0.01916,10.00160,-0.64122,-0.22901,-0.32061
15478,131,128,131,131,131,0,0.05269,0.01198,10.00879,-0.66412,-0.12977,-0.34351
15599,131,128,131,131,131,0,0.04072,0.01916,9.99921,-0.50382,-0.22901,-0.31298
15719,131,128,131,131,131,0,0.02156,0.00000,10.02795,-0.58779,-0.22901,-0.22901
15840,131,128,131,131,131,0,0.05988,0.01198,10.00879,-0.71756,-0.09924,-0.42748
15961,131,128,131,131,131,0,0.03114,-0.00479,10.00400,-0.73282,-0.17557,-0.35878
16081,131,128,131,131,131,0,0.00719,-0.00240,10.00160,-0.64885,-0.19084,-0.38168
16202,131,128,131,131,131,0,0.03353,0.00240,10.02316,-0.80153,-0.14504,-0.41985
16322,131,128,131,131,131,0,0.04072,0.02395,10.03274,-0.68702,-0.06107,-0.30534
16443,131,128,131,131,131,0,0.05030,0.01677,9.99681,-0.80916,-0.15267,-0.35115
16563,131,128,131,131,131,0,0.03593,0.03353,10.00879,-0.71756,-0.21374,-0.33588
16684,131,128,131,131,131,0,0.04551,-0.02395,10.01118,-0.62595,0.00763,-0.38931
16804,131,128,131,131,131,0,0.02874,0.03832,9.98723,-0.85496,-0.15267,-0.38931
16925,131,128,131,131,131,0,0.01198,0.01198,10.00160,-0.58779,-0.16031,-0.35878
17045,131,128,131,131,131,0,0.02874,-0.00479,9.98963,-0.63359,-0.06107,-0.38168
17166,131,128,131,131,131,0,0.03114,-0.00958,9.99202,-0.58015,-0.06107,-0.25954
17287,131,128,131,131,131,0,0.05269,0.00000,10.01118,-0.83206,-0.20611,-0.26718
17407,131,128,131,131,131,0,0.04072,-0.03832,10.00639,-0.61069,-0.22137,-0.41221
17528,131,128,131,131,131,0,0.00958,-0.00958,10.00879,-0.80916,-0.13740,-0.24427
17648,131,128,131,131,131,0,0.02874,0.00240,10.03753,-0.77863,0.03053,-0.39695
17769,131,128,131,131,131,0,0.05509,-0.00719,10.03274,-0.72519,0.02290,-0.19847
17889,131,128,131,131,131,0,0.04790,-0.01677,10.00160,-0.70229,-0.09924,-0.20611
18010,131,128,131,131,131,0,0.04072,-0.01437,10.01118,-0.64122,-0.24427,-0.22901
18130,131,128,131,131,131,0,0.02635,0.00240,10.00400,-0.63359,-0.00763,-0.27481
18251,131,128,131,131,131,0,0.03353,0.00000,10.03992,-0.67176,-0.09160,-0.31298
18371,131,128,131,131,131,0,0.02635,0.00000,9.99921,-0.74046,-0.13740,-0.21374
18492,131,128,131,131,131,0,0.02635,-0.01198,10.00400,-0.65649,-0.05344,-0.32824
18612,131,128,131,131,131,0,0.04790,-0.04551,9.99442,-0.56489,-0.24427,-0.25191
18733,131,128,131,131,131,0,0.02874,0.00000,9.98005,-0.78626,-0.16794,-0.39695
18854,131,128,131,131,131,0,0.06467,0.01198,9.98963,-0.66412,-0.20611,-0.29771
18974,131,128,131,131,131,0,0.05030,0.00240,10.00160,-0.70229,-0.16031,-0.35878
19095,131,128,131,131,131,0,0.03114,-0.01916,9.99681,-0.85496,-0.17557,-0.25191
19215,131,128,131,131,131,0,0.01437,0.01677,10.01118,-0.86260,-0.17557,-0.41985
19336,131,128,131,131,131,0,0.03114,0.00000,10.02795,-0.66412,-0.03817,-0.26718
19456,131,128,131,131,131,0,0.02874,-0.00240,9.98963,-0.54198,-0.09160,-0.38168
19577,131,128,131,131,131,0,0.00479,0.00000,9.98484,-0.73282,-0.04580,-0.25954
19697,131,128,131,131,131,0,0.04551,0.01437,10.00639,-0.74046,-0.23664,-0.39695
19818,131,128,131,131,131,0,0.03593,-0.01437,10.00639,-0.79389,-0.12977,-0.34351
19938,131,128,131,131,131,0,0.05030,0.01916,10.01358,-0.66412,-0.23664,-0.19084
20059,131,128,131,131,131,0,0.00240,0.00000,10.00160,-0.75573,-0.29771,-0.34351
20179,131,128,131,131,131,0,0.02635,0.00958,10.03274,-0.67939,-0.22901,-0.38168
20300,131,128,131,131,131,0,0.02635,0.00240,10.01597,-0.70992,-0.09160,-0.40458
20421,131,128,131,131,131,0,0.04072,0.00479,9.99202,-0.69466,-0.22901,-0.33588
20541,131,128,131,131,131,0,0.02156,0.00719,10.02316,-0.68702,-0.19084,-0.35878
20662,131,128,131,131,131,0,0.00719,-0.00240,10.01837,-0.70992,-0.28244,-0.32824
20782,131,128,131,131,131,0,0.03593,-0.00240,10.01358,-0.64122,-0.22137,-0.29771
20903,131,128,131,131,131,0,0.01198,-0.00240,10.01597,-0.58015,-0.25191,-0.32824
21023,131,128,131,131,131,0,0.04311,-0.01437,10.02076,-0.64122,-0.28244,-0.45802
21144,131,128,131,131,131,0,0.02874,0.00000,10.00879,-0.66412,-0.10687,-0.44275
21264,131,128,131,131,131,0,0.03114,-0.02156,9.99442,-0.70992,-0.11450,-0.20611
21385,131,128,131,131,131,0,0.04551,0.00719,9.99681,-0.70229,-0.18321,-0.32061
21505,131,128,131,131,131,0,0.07425,-0.01437,10.01118,-0.61832,-0.02290,-0.34351
21626,131,128,131,131,131,0,0.01437,-0.00479,9.99681,-0.69466,-0.06870,-0.40458
21746,131,128,131,131,131,0,0.03353,-0.01916,10.00400,-0.63359,-0.19847,-0.29771
21867,131,128,131,131,131,0,0.02874,-0.00479,9.99921,-0.56489,-0.12977,-0.32061
21988,131,128,131,131,131,0,0.04072,0.00000,9.99681,-0.49618,-0.16794,-0.28244
22108,131,128,131,131,131,0,0.04551,0.02395,10.01837,-0.56489,-0.06107,-0.36641
22229,131,128,131,131,131,0,0.03114,0.01677,9.98963,-0.82443,-0.16031,-0.36641
